序号,指标名称,计算结果
1,P5的X坐标值,1.498
2,P5的Y坐标值,7.312
3,P5的Z坐标值,3.073
4,全部点X坐标最小值,0.085
5,全部点X坐标最大值,99.991
6,全部点Y坐标最小值,0.068
7,全部点Y坐标最大值,99.935
8,全部点Z坐标最小值,-0.865
9,全部点Z坐标最大值,5.668
10,P5所在栅格行号i,0
11,P5所在栅格列号j,0
12,P5所在栅格内总测点数,12
13,P5所在栅格高程平均值,1.090
14,P5所在栅格高程最大值,1.184
15,P5所在栅格高程高差,0.178
16,P5所在栅格高程方差,0.002
17,三点P1P2P3围成三角形面积,830.762801
18,RANSAC拟合平面S1参数A,-0.038299
19,RANSAC拟合平面S1参数B,1.384951
20,RANSAC拟合平面S1参数C,-231.654962
21,RANSAC拟合平面S1参数D,211.150106
22,测点P1000到平面S1垂直距离,0.142
23,测点P5到平面S1垂直距离,2.118
24,拟合平面S1内点数量,902
25,拟合平面S1粗差点数量,98
26,最优分割平面J1参数A,0.000439
27,最优分割平面J1参数B,-0.005187
28,最优分割平面J1参数C,0.999986
29,最优分割平面J1参数D,-0.976172226
30,分割平面J1内点数量,900
31,分割平面J1粗差点数量,100
32,分割平面J2参数A,0.003201
33,分割平面J2参数B,-0.005433
34,分割平面J2参数C,0.999980
35,分割平面J2参数D,-1.022439287
36,分割平面J2内点数量,788
37,分割平面J2粗差点数量,212
38,P5在平面J1投影X坐标xi,1.497
39,P5在平面J1投影Y坐标yi,7.323
40,P5在平面J1投影Z坐标zi,1.01
41,P800在平面J1投影X坐标xi,0.125
42,P800在平面J1投影Y坐标yi,91.271
43,P800在平面J1投影Z坐标zi,1.450
